Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,YearBuilt,YearRemodAdd,GrLivArea,TotalBsmtSF,BedroomAbvGr,BathroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
28,20,RL,64,4992,Pave,,Reg,Lvl,1907,1970,1455,2174,3,1,1,5,2,697,174557
29,60,FV,,24597,Pave,,Reg,Bnk,1982,1996,1590,861,2,2,1,13,2,575,175758
30,180,RM,21,2394,Pave,,Reg,Lvl,2010,1999,850,1243,3,1,1,9,2,110,133332
31,50,RL,78,12650,Pave,,Reg,Lvl,1932,1973,334,44,3,4,1,11,2,414,125261
32,60,RL,52,11200,Pave,,Reg,Lvl,1906,1993,1316,361,4,2,1,11,3,274,163288
33,90,RL,,3719,Pave,,Reg,HLS,1928,2005,2145,1216,2,2,1,3,2,330,256653
34,80,RM,,10312,Pave,,Reg,Bnk,1929,1950,438,155,3,1,1,3,3,673,100031
35,30,FV,55,5422,Pave,,Reg,Lvl,1926,2002,953,1273,2,2,1,6,3,288,138744
36,190,RL,235,1300,Pave,,Reg,Lvl,1974,1960,5270,1020,3,1,1,15,2,490,361330
37,85,RL,139,5211,Pave,,Reg,Bnk,1945,1961,1206,1245,2,2,2,2,2,1418,156824
38,75,FV,113,5916,Pave,,Reg,Lvl,1980,1985,2497,384,3,1,1,11,5,465,267264
39,180,RL,58,2999,Pave,,IR2,Lvl,1889,1983,487,1772,2,1,1,4,2,105,101673
40,20,RL,58,4100,Pave,,Reg,Lvl,1894,1992,1059,445,3,2,1,8,2,611,166604
41,75,RL,86,7821,Pave,Pave,Reg,Lvl,1927,2009,1441,241,2,1,1,11,3,159,170989
42,160,RL,95,4571,Pave,,Reg,Lvl,1934,2000,1497,264,2,1,1,12,2,1180,151815
43,75,RM,35,20847,Pave,,Reg,Lvl,1984,1950,424,326,3,1,1,3,2,1014,116527
44,50,I,191,10058,Pave,,Reg,Lvl,1991,1983,1211,681,3,2,1,12,2,136,123376
45,30,I,41,12717,Pave,,Reg,Lvl,1913,1963,2923,216,5,2,1,3,2,445,195109
46,70,RP,130,11615,Pave,,Reg,Lvl,1912,1957,4509,149,3,1,1,3,2,1073,346311
47,180,RP,106,1371,Pave,,Reg,Lvl,1988,1991,4808,131,3,2,1,4,3,260,344534
48,20,RL,136,16567,Pave,,Reg,Lvl,1904,1999,2145,370,2,1,1,6,2,96,192816
49,50,C,,6485,Pave,,Reg,Lvl,1887,1978,2330,664,2,1,1,6,2,253,233340
50,30,RL,104,7216,Pave,,Reg,Bnk,1950,1989,334,1570,3,1,1,5,2,154,133214
51,75,FV,23,9973,Pave,,Reg,Lvl,1879,2005,2338,1749,2,1,1,5,1,1034,278419
52,70,RL,90,9684,Pave,,Reg,Lvl,1879,1963,448,601,4,1,1,8,3,387,128880
53,75,RL,69,7568,Pave,,Reg,Lvl,1884,1978,1545,161,2,2,1,10,2,572,184073
54,80,RL,122,5772,Pave,,Reg,Lvl,1999,2009,1303,741,2,1,1,13,2,353,151166
55,85,RM,91,22566,Pave,,Reg,Lvl,1946,1987,1458,1228,2,2,1,8,3,420,154114
56,160,C,202,2450,Pave,,Reg,Lvl,2003,1988,1215,1121,4,1,1,2,2,545,136583
57,40,RM,,3128,Pave,,Reg,Lvl,1931,1986,833,958,2,1,1,7,2,70,118702
58,40,RL,172,8993,Pave,,Reg,Lvl,2001,1959,1081,1098,4,1,1,6,1,289,104237
59,160,FV,73,4745,Pave,,Reg,Lvl,1968,1972,334,1107,3,2,1,12,1,687,147824
60,150,RL,36,1300,Pave,Pave,Reg,Lvl,1898,1974,337,508,4,1,1,4,0,340,82927
61,180,RL,21,31216,Pave,,IR3,Lvl,1913,2002,334,1863,2,4,1,6,2,498,145107
62,60,RL,,16995,Pave,,Reg,Lvl,1921,1994,1452,86,3,3,1,14,2,983,180920
63,30,RL,,15958,Pave,,Reg,Lvl,1941,1976,1259,2538,3,3,1,6,2,716,183389
64,150,RL,42,10521,Pave,,Reg,Low,1884,1957,334,1179,4,2,2,5,2,319,109402
65,40,RL,31,17113,Pave,,Reg,Low,1904,1956,1250,540,3,1,1,12,2,37,200862
66,160,RL,21,5681,Pave,,Reg,Bnk,1987,2000,1221,650,3,1,1,8,2,363,136672
67,90,RL,22,17622,Pave,,Reg,Lvl,1906,1998,695,379,2,3,1,15,3,537,144781
68,20,FV,73,3982,Pave,,Reg,HLS,1875,2009,579,1950,2,1,1,14,3,276,183688
69,30,RL,25,13608,Pave,,Reg,Lvl,1940,1953,334,338,2,1,1,15,2,1035,141269
70,190,RL,62,17742,Pave,,Reg,Lvl,1879,1962,847,97,3,2,1,15,1,1418,138269
71,70,C,145,3228,Pave,,IR1,Lvl,1898,1982,334,686,3,1,1,4,2,193,89513
72,30,RL,82,1948,Pave,,Reg,Lvl,1954,1965,1822,950,3,1,1,8,2,604,204445
73,50,RL,99,14804,Pave,,Reg,Lvl,1931,1952,3349,265,2,1,1,5,2,77,269546
74,60,RM,78,10794,Pave,,IR1,Lvl,1930,1961,2124,671,4,1,1,12,3,564,139968
75,40,RL,,4556,Pave,,Reg,Lvl,2002,1998,334,641,4,2,1,6,2,4,155411
76,150,RP,45,6770,Pave,,Reg,Lvl,1971,1977,591,537,3,2,1,5,4,2,143397
77,80,RL,79,18259,Pave,,Reg,Lvl,2008,1996,1454,205,3,1,1,10,2,437,197136
78,40,RL,97,8081,Pave,,Reg,Lvl,1877,2010,334,1729,3,3,1,10,3,6,149189
79,50,RM,50,8726,Pave,,Reg,Lvl,1919,2000,334,2671,2,1,1,8,3,385,91397
80,180,C,146,10189,Pave,,Reg,Lvl,2001,1958,334,163,3,0,1,13,1,758,93784
81,80,RM,29,3715,Pave,,Reg,Lvl,1873,1953,334,236,3,1,1,8,1,1418,79115
82,30,FV,247,2679,Pave,,Reg,Bnk,1964,1964,1013,739,3,2,1,9,2,984,137421
83,85,RL,40,3168,Pave,,Reg,Bnk,1977,1972,334,624,5,2,1,4,4,150,155327
84,40,C,22,13336,Pave,Pave,IR1,Lvl,1964,1978,564,82,5,1,1,9,2,564,131749
85,85,RM,31,19879,Pave,,Reg,Lvl,1957,1953,1027,516,2,1,1,5,2,28,129088
86,30,RL,151,11376,Pave,Pave,Reg,Lvl,1971,1956,1603,184,3,1,1,12,2,1053,116315
87,80,RL,21,7788,Pave,,IR1,Lvl,1912,2005,948,144,3,1,1,14,2,930,160882
88,30,RL,63,2990,Grvl,,Reg,Lvl,1879,2008,511,581,3,3,1,2,2,213,143241
89,40,RL,313,11805,Pave,,Reg,Lvl,1967,1993,1452,519,2,3,1,11,0,17,150256
90,150,RL,21,4650,Pave,,Reg,HLS,1921,1986,2176,580,3,2,1,2,2,760,180603
91,150,RL,54,8192,Pave,,Reg,Lvl,1910,1964,334,643,2,0,1,10,2,357,98010
92,180,RH,127,17195,Pave,,Reg,Bnk,1919,1955,393,586,4,1,1,4,2,306,81752
93,180,RL,21,2763,Pave,,Reg,Lvl,1920,1977,2187,1401,3,1,1,10,2,517,248804
94,45,RL,75,6642,Pave,,Reg,Lvl,1992,1960,1406,70,2,1,1,14,2,114,177367
95,80,RL,,26462,Pave,,Reg,Lvl,1872,1953,406,401,4,3,1,4,1,67,129709
96,70,RL,154,2966,Pave,,Reg,Lvl,1905,1958,2315,123,2,1,1,12,4,45,337224
97,180,RL,83,3483,Pave,,Reg,Lvl,1992,1969,844,2116,2,2,1,15,4,551,189567
98,50,RL,28,8730,Pave,,Reg,Bnk,1972,1979,334,583,3,2,1,2,2,222,100349
99,180,RM,27,18093,Pave,,Reg,Lvl,1914,1979,429,566,4,1,1,6,2,354,101261
100,90,RL,127,12428,Pave,,IR3,HLS,1897,1997,1710,1363,4,2,1,11,2,201,174156
101,50,RL,,5243,Pave,,Reg,Lvl,1932,1964,542,1764,3,1,1,13,2,329,140940
102,180,RL,146,15603,Pave,,Reg,HLS,1983,1973,1440,363,3,2,1,14,1,155,137202
103,120,C,21,23320,Pave,,IR1,Lvl,1974,1988,337,538,2,1,1,5,0,180,71744
104,60,RL,,5305,Pave,,Reg,Lvl,1912,2010,942,2409,2,2,1,8,2,16,155340
105,120,RP,21,10081,Pave,,Reg,Lvl,1943,1997,572,1419,2,1,1,4,3,949,115091
106,50,RH,65,7126,Pave,,Reg,HLS,1883,2009,2745,2946,4,1,1,7,2,512,191105
107,50,C,67,3967,Pave,,Reg,Lvl,1927,1998,895,1679,2,1,1,8,2,285,127435
108,20,RL,149,18950,Pave,,Reg,Bnk,1926,2008,520,1365,3,2,1,10,2,128,165119
109,75,RL,31,9152,Pave,Pave,Reg,Low,1883,1982,425,856,4,1,1,9,2,336,133830
110,60,RL,,8855,Pave,,Reg,Lvl,1938,1999,907,691,2,3,1,13,4,104,132155
111,80,RM,90,13371,Pave,,IR2,Lvl,1968,1961,3524,1449,2,2,1,9,3,185,182020
112,80,FV,71,25278,Pave,,Reg,Lvl,1890,1964,1924,389,3,2,1,8,1,1114,168817
113,40,RL,,13188,Pave,,Reg,Lvl,1959,1971,978,1873,2,1,1,7,2,47,160901
114,190,FV,21,17070,Pave,,Reg,Lvl,1975,1952,1449,282,3,1,1,11,4,137,203324
115,180,RM,69,6334,Pave,,Reg,HLS,1951,1962,2819,244,3,2,1,4,2,106,175586
116,20,RL,52,10418,Pave,,Reg,Lvl,1979,1985,1084,977,3,1,1,9,3,281,140432
117,120,RL,28,6886,Pave,,Reg,Lvl,1963,1958,1461,537,1,1,1,10,2,357,220368
118,90,RL,38,4743,Pave,,IR2,Lvl,1928,1969,2252,157,3,1,1,15,2,406,186916
119,60,I,45,11524,Pave,,Reg,Lvl,2005,1987,550,14,3,1,1,3,3,1281,78593
120,120,I,69,4691,Pave,,Reg,HLS,1909,1996,1651,2009,2,1,1,9,2,332,148683
121,90,RL,241,10233,Pave,,Reg,HLS,1938,1995,800,346,3,1,1,10,2,38,160514
122,160,I,21,3968,Pave,,Reg,Lvl,1931,1992,1043,852,4,1,1,15,1,572,119165
123,50,RL,165,3350,Pave,,Reg,Bnk,1888,1979,580,413,2,1,1,15,2,586,122959
124,180,RL,165,4027,Pave,,Reg,Lvl,1906,1971,904,281,2,1,1,9,2,300,140739
125,190,RL,113,2166,Pave,,Reg,Lvl,1996,1960,520,1840,2,1,1,3,3,1418,115488
126,60,RM,51,22604,Pave,,IR2,Bnk,1993,1991,1780,1281,4,1,1,8,2,552,155836
127,90,RL,,3748,Grvl,,Reg,Lvl,1972,1998,1320,190,2,1,1,3,2,416,154274
128,160,RL,21,25076,Pave,,Reg,HLS,1910,1972,334,1258,2,1,1,14,2,76,126644
129,180,I,21,13875,Pave,,Reg,HLS,1921,1997,2477,393,4,2,1,15,2,494,156511
130,20,RL,52,17845,Pave,,Reg,Lvl,1986,1981,567,235,3,1,1,13,2,175,163977
131,60,I,22,2260,Pave,,Reg,HLS,1910,1987,628,196,3,2,1,8,2,867,105556
132,85,RL,,1495,Pave,,Reg,Lvl,1958,1956,439,292,4,1,1,15,3,1418,135123
133,45,RL,83,5928,Grvl,,Reg,Lvl,1872,1952,1192,786,3,2,1,12,2,244,169726
134,70,RL,103,7759,Pave,,Reg,Lvl,1944,1960,1654,1970,4,1,1,15,2,435,196496
135,80,RL,116,4030,Grvl,,Reg,Lvl,1915,1995,1341,587,1,2,1,4,2,290,182252
136,30,C,135,8154,Pave,,IR1,Low,1924,2006,862,794,2,1,1,12,4,411,202018
137,45,A,22,3408,Pave,,Reg,Bnk,1929,1972,1598,924,4,2,1,8,3,452,185711
138,120,RL,110,9483,Pave,,Reg,Lvl,1985,1976,334,1683,3,1,1,5,2,233,92499
139,50,RL,134,9733,Pave,,IR1,Lvl,1986,1963,677,1049,2,1,1,8,2,9,132929
140,20,RL,21,7523,Pave,,Reg,Lvl,1877,1985,334,726,3,1,1,15,2,347,114740
141,85,FV,39,7098,Pave,,Reg,Lvl,2008,1951,583,1366,4,1,1,15,3,26,160512
142,30,A,37,6433,Pave,,Reg,Lvl,1882,1971,1141,964,3,1,1,13,5,575,216374
143,120,RP,29,15534,Pave,,IR1,Lvl,1924,1951,5642,570,2,1,1,10,2,403,454782
144,190,I,,12268,Pave,,Reg,Lvl,1947,1969,1605,582,2,1,1,8,2,310,148928
145,120,RL,70,7567,Pave,,Reg,Lvl,1927,2009,1776,684,3,1,1,10,2,167,223956
146,90,A,,15919,Pave,,IR1,Lvl,1935,1975,334,120,4,2,1,14,2,761,107981
147,75,RL,142,5897,Pave,,IR1,Lvl,1952,1956,917,457,2,1,1,2,2,771,155218
148,180,RL,172,6401,Pave,,Reg,Lvl,1900,2003,3055,509,4,1,1,6,3,174,270290
149,40,RL,114,1380,Pave,,IR2,Lvl,1916,1980,1356,386,2,2,1,3,2,239,187575
150,30,FV,21,8561,Pave,,Reg,Lvl,1968,2009,376,1137,2,1,1,11,2,195,153011
151,90,C,95,11253,Pave,Grvl,IR2,Bnk,1959,1960,1572,394,3,1,1,10,2,232,190497
152,180,RL,89,21933,Pave,,Reg,Lvl,2004,1997,334,2080,3,2,1,12,3,550,168079
153,40,RL,,17003,Pave,,Reg,Lvl,1940,2000,334,923,3,1,1,11,2,547,149984
154,20,RL,313,15531,Pave,,Reg,Lvl,1952,1959,1424,646,4,1,1,12,2,487,196861
155,20,RL,27,1300,Pave,,Reg,Lvl,2008,1958,4156,422,2,1,1,2,2,944,320783
156,45,C,143,2015,Pave,,Reg,Lvl,1974,1958,2114,1181,2,1,1,13,0,267,143169
157,75,FV,53,10967,Pave,,Reg,Lvl,1935,1975,1918,204,8,2,1,7,3,229,228580
158,40,RL,21,12041,Pave,,IR1,Lvl,1948,1976,831,245,1,1,1,6,2,365,178389
159,45,RL,37,17234,Pave,,Reg,Lvl,1883,1976,1184,2186,4,2,1,2,2,128,158069
160,90,RL,162,5007,Pave,,Reg,Lvl,1902,2000,334,1872,2,3,1,14,2,50,118491
161,120,RM,32,17563,Pave,Pave,Reg,Lvl,1900,2010,3608,353,2,1,1,4,3,28,204046
162,80,RL,21,14263,Pave,,Reg,Lvl,1933,2003,1386,1276,2,3,1,4,2,557,186181
163,190,I,35,7239,Pave,,IR1,Lvl,1919,1968,334,1677,2,1,1,11,1,142,72022
164,70,C,85,12958,Pave,,Reg,Lvl,1932,1975,334,255,3,0,1,11,2,46,98263
165,180,RH,26,13009,Pave,,IR1,Lvl,2002,1980,1185,37,2,3,1,13,2,83,146317
166,40,RL,35,1719,Pave,,Reg,Lvl,1905,1961,800,590,2,3,1,3,2,1124,159352
167,85,RL,245,6714,Pave,,Reg,Lvl,1929,2009,334,1425,2,1,1,12,2,294,90292
168,45,RL,,10880,Pave,,IR1,Low,1945,1996,1630,625,3,2,2,12,2,159,186765
169,80,C,62,5390,Pave,,Reg,Lvl,2007,2009,3572,3278,5,1,1,8,2,116,269160
170,80,RL,149,16589,Pave,,IR1,Lvl,1872,1953,334,549,3,4,1,11,2,5,122294
171,40,FV,53,12170,Pave,,IR2,Lvl,2008,2010,2857,2033,3,1,1,6,2,1418,277493
172,20,RP,129,2829,Pave,,Reg,Lvl,1893,1970,334,1395,2,1,1,14,2,198,85505
173,90,RL,58,6702,Pave,,IR1,Lvl,1975,1977,1016,125,2,2,1,4,2,547,160868
174,75,RL,174,3295,Pave,,Reg,Lvl,1939,1994,715,298,3,1,1,5,2,411,99915
175,50,RL,86,19094,Pave,Grvl,Reg,Bnk,1901,2006,334,653,2,1,1,9,2,67,130983
176,50,RL,,12151,Pave,Grvl,IR2,HLS,1967,1950,1192,2939,4,2,1,13,1,1418,146288
177,85,RL,,2644,Pave,,Reg,Lvl,1924,1996,679,346,5,1,3,10,2,417,137491
178,150,RP,,18890,Pave,,Reg,HLS,1985,2006,1017,361,3,2,1,11,1,356,145279
179,190,RM,,2934,Pave,,Reg,Lvl,1968,1985,356,115,3,1,1,7,2,195,72040
180,80,RL,21,13566,Pave,,Reg,Lvl,1935,1950,674,1129,4,1,1,3,2,213,111360
181,20,RL,21,6636,Pave,Pave,Reg,Lvl,1879,1957,1652,648,2,1,1,12,3,323,205621
182,180,RL,101,2200,Grvl,Grvl,Reg,HLS,1901,1965,334,2102,3,2,1,14,2,1045,98581
183,85,RL,21,7785,Pave,,Reg,HLS,2007,1993,2557,2440,2,1,1,8,2,23,175705
184,50,FV,98,12351,Pave,,Reg,Lvl,1930,1952,1033,3987,1,2,1,12,2,566,120791
185,30,A,123,27876,Pave,,Reg,Lvl,1970,1988,1972,502,3,1,1,9,2,291,189983
186,120,RL,,1740,Pave,,Reg,Lvl,1994,2009,334,65,4,1,1,14,2,962,152989
187,85,RL,41,7560,Pave,Grvl,IR1,Lvl,1897,1973,2337,1822,3,1,1,5,2,175,182101
188,45,RL,74,21622,Pave,,Reg,Lvl,1958,1970,2555,144,2,1,1,14,2,176,240166
189,90,RL,171,8239,Pave,,Reg,Lvl,1966,1999,615,755,2,1,1,2,2,424,180048
190,190,RL,31,1860,Pave,,Reg,Lvl,1985,1968,3528,849,3,1,1,11,2,197,306562
191,50,RL,78,1556,Pave,Grvl,Reg,Lvl,1924,1959,1128,476,5,1,1,4,2,92,152171
192,190,RL,36,9498,Pave,,Reg,Lvl,1932,1966,334,1634,3,1,1,8,2,142,108975
193,190,RL,,8996,Pave,,Reg,Lvl,1879,1965,346,274,4,1,1,2,2,129,113612
194,40,RL,,12907,Pave,,Reg,Lvl,1947,1960,1680,148,3,1,1,7,2,77,192488
195,60,I,,16809,Pave,,Reg,Low,1940,1961,2035,982,3,2,1,5,2,61,142705
196,90,RL,,5385,Pave,,Reg,HLS,1968,1986,498,375,5,3,1,5,3,27,167470
197,60,RL,103,5902,Pave,,Reg,Lvl,1998,1961,1347,570,2,3,1,8,1,1418,155594
198,60,RL,114,4121,Pave,,Reg,Lvl,1872,1982,1183,623,2,1,1,3,2,59,173907
199,75,RL,84,10967,Pave,,Reg,Lvl,1914,1965,792,2854,4,1,1,3,2,1109,101757
200,30,RH,75,10350,Pave,,Reg,Lvl,1913,1968,377,13,2,2,1,12,2,93,93083
201,60,RL,183,6999,Pave,,IR2,Lvl,1934,1981,904,733,2,1,1,4,2,601,143305
202,75,FV,60,8464,Pave,,Reg,Lvl,1908,1994,334,156,2,0,1,12,2,536,146581
203,70,I,48,2434,Pave,,Reg,Lvl,1884,1983,1558,348,2,2,1,4,2,70,141173
204,90,RL,21,18179,Grvl,,Reg,Lvl,1925,2006,519,1140,2,1,1,2,2,429,115287
205,30,RL,75,16230,Pave,,IR3,Lvl,1983,1995,1227,162,2,1,1,14,2,252,189038
206,60,I,,3799,Pave,,Reg,Bnk,1948,1978,395,1138,2,0,1,4,2,185,83244
207,20,RL,118,3070,Pave,,Reg,Bnk,1964,1977,3795,29,2,2,1,5,2,1289,265991
208,180,FV,,4365,Pave,,Reg,Lvl,1990,1981,1912,379,3,1,1,9,4,163,265911
209,60,I,64,3255,Pave,,IR1,Lvl,1901,1950,1818,345,5,1,1,13,2,283,128502
210,190,RL,50,7505,Pave,,Reg,Low,1943,2006,979,457,3,1,3,15,3,725,120671
211,30,RL,30,8921,Pave,,Reg,Lvl,1971,1986,563,535,4,1,1,2,2,430,126477
212,40,RL,,1300,Pave,,IR1,Lvl,1940,1961,334,308,3,2,1,14,2,537,116481
213,160,RL,66,9481,Pave,,Reg,Lvl,1987,2003,1869,626,3,1,1,10,3,303,238606
214,30,RP,69,10763,Pave,,Reg,Lvl,1970,1951,637,621,2,2,1,5,2,453,122518
215,45,RL,154,10706,Pave,Grvl,Reg,Lvl,2001,1977,725,460,4,1,1,11,2,238,169321
216,190,RM,247,12473,Pave,,Reg,Lvl,1902,1994,1057,691,2,2,1,8,2,625,119144
217,40,RL,83,2848,Pave,,Reg,Lvl,1931,1979,334,350,2,1,1,11,2,179,134675
218,20,FV,90,8008,Pave,Pave,Reg,Lvl,1920,1950,818,931,2,1,1,14,2,1418,195793
219,40,RL,58,6732,Pave,,Reg,Lvl,1885,1956,847,459,3,1,1,11,4,355,167383
220,20,RL,78,3445,Pave,,Reg,Lvl,1947,2003,657,887,5,3,1,12,2,549,140205
221,150,RL,69,12084,Pave,,IR3,Lvl,1939,1967,592,1162,2,1,3,12,2,455,91029
222,85,RL,,3194,Pave,,Reg,Lvl,1911,1964,1066,236,3,1,1,13,1,700,136302
223,85,RL,248,5645,Pave,,Reg,Lvl,2008,2002,1010,189,3,1,1,10,2,112,133418
224,150,RL,180,7255,Pave,,Reg,Lvl,1916,1958,2594,241,2,3,1,4,0,361,165507
225,160,I,,6733,Pave,,Reg,Lvl,1935,1963,705,778,3,1,1,11,2,235,106143
226,80,RL,21,9599,Pave,Pave,IR3,Lvl,1879,1950,334,1707,2,1,1,3,3,239,108290
227,20,I,74,12407,Pave,,Reg,Lvl,1970,1969,371,473,3,1,1,11,3,76,115609
228,50,RP,313,1302,Pave,,IR1,Lvl,1965,1965,1674,467,3,2,1,14,2,196,186768
229,90,RL,21,3990,Pave,,Reg,Lvl,1917,1952,345,1279,3,1,1,9,2,418,155044
230,85,RL,37,7902,Pave,,Reg,Low,1873,1994,334,95,2,3,1,14,4,67,145153
231,80,RL,35,2081,Pave,,Reg,Lvl,1896,1970,596,580,3,1,1,12,2,437,110924
232,20,RM,83,11066,Pave,,Reg,Lvl,1967,2008,3519,1616,5,2,1,10,2,111,201704
233,150,RL,99,15632,Pave,,IR2,Lvl,1991,1969,2733,804,5,1,2,2,2,33,164634
234,40,RL,133,5249,Pave,,IR2,Bnk,1968,1956,334,1007,2,2,1,12,2,662,110662
235,60,I,100,1300,Pave,,Reg,Lvl,1886,2005,1313,2361,4,1,1,6,2,56,116518
236,80,RL,203,3038,Pave,,Reg,HLS,1965,1964,860,412,3,1,1,5,3,508,145138
237,75,RL,21,12337,Grvl,,Reg,Bnk,1883,1987,334,42,2,1,1,5,2,419,111630
238,75,RL,223,1472,Pave,Grvl,IR1,Lvl,1998,2009,648,2881,3,1,1,13,2,688,161163
239,40,FV,89,11244,Pave,,IR1,Bnk,1956,1975,386,537,3,1,1,8,0,1418,98814
240,180,A,112,3019,Pave,,Reg,Lvl,1922,1993,334,1584,2,1,1,8,1,525,86154
241,85,FV,44,4999,Pave,,Reg,Lvl,1953,1994,1523,734,3,2,1,12,2,338,196671
242,90,RL,32,15240,Pave,,Reg,HLS,1967,1993,1098,1678,4,1,1,15,0,787,102118
243,160,RL,139,4227,Pave,,Reg,Lvl,1919,2005,1425,317,3,2,1,8,2,661,143997
244,75,RL,31,6107,Pave,,Reg,Lvl,1872,1954,964,376,5,1,1,11,2,882,137141
245,80,RL,54,7877,Pave,,Reg,HLS,1903,1951,334,2555,2,1,1,8,5,95,159275
246,40,RL,56,10308,Pave,Grvl,Reg,Lvl,2000,2000,668,112,3,2,1,2,2,473,151987
247,120,RL,59,7643,Pave,,Reg,Bnk,1963,1990,4023,603,2,1,1,11,2,249,314040
248,70,RM,91,10698,Pave,,Reg,Lvl,2001,1977,334,23,3,2,1,8,2,386,81026
249,80,RL,21,10992,Pave,,Reg,HLS,1956,1989,633,710,6,2,1,5,2,238,143537
250,180,RL,21,9024,Pave,,Reg,Lvl,1995,1953,726,905,2,2,1,6,2,306,166505
251,80,RL,44,7900,Pave,,IR1,Lvl,1872,2004,1700,199,2,2,1,4,2,322,153592
252,90,RL,57,8984,Pave,,Reg,Lvl,1998,1972,334,339,1,1,1,7,2,1418,141712
253,30,RL,48,3364,Pave,,Reg,Lvl,1992,2009,650,927,8,0,1,15,2,433,129252
254,85,RL,58,19845,Grvl,,Reg,Lvl,1943,1997,334,1097,3,1,1,11,2,1418,124565
255,80,RL,36,6938,Grvl,,Reg,Lvl,1968,1998,2122,867,3,1,1,5,2,896,224280
256,30,I,,1300,Pave,,IR1,Bnk,1931,1955,783,900,4,1,1,4,1,72,100331
257,160,RL,42,7565,Pave,,Reg,Lvl,2005,1998,2372,444,4,2,1,6,2,365,246905
258,160,C,147,12019,Pave,,Reg,Lvl,1897,2004,334,2892,4,1,1,4,2,108,88983
259,85,RL,237,8207,Pave,,Reg,HLS,1878,1959,2040,52,3,1,1,15,2,553,177777
260,180,RL,21,7482,Pave,,IR3,Bnk,2010,1989,2081,2115,2,1,1,11,1,632,206876
261,70,RL,63,1300,Grvl,,Reg,Lvl,1974,1993,1756,41,3,1,1,3,2,602,196074
262,45,RL,207,8763,Pave,,IR3,Lvl,1902,1953,1055,787,3,1,1,5,2,238,173701
263,90,C,67,25949,Pave,,Reg,Lvl,1986,1950,3203,2030,4,2,1,3,2,446,234321
264,80,RL,21,9191,Pave,,Reg,Lvl,1885,1991,356,1407,2,1,2,3,2,1215,135894
265,30,RL,83,3187,Pave,,Reg,Lvl,1946,1966,933,2356,3,1,1,8,2,99,128552
